town,country,institution_type,company_name,trust_score,review,five_star_%
Portland, United States,ATM,NA,4.8,347,95%
Lincoln, United States,Financial Institution,NA,4.8,326,92%
Chicago, United States,Money Transfer Service,NA,4.1,241,65%
Cleveland, United States,Beauty Products Vending Machine,NA,4.6,21,100%
Atlanta, United States,Bank,NA,4.4,15,93%
San Francisco, United States,Financial Institution,NA,4.4,10,100%
San Diego , United States,Business to Business Service,NA,4.0,4,100%
San Jose, United States,Debt Relief Service,NA,3.8,9,67%
Las Vegas, United States,ATM,NA,3.7,8,37%
NA,NA,ATM,NA,3.7,1,100%
San Diego, United States,ATM,NA,3.7,1,100%
Roxbury, United States,ATM,NA,3.7,1,100%
NA,NA,ATM,NA,3.4,7,14%
NA,NA,ATM,NA,3.2,1,0%
NA,NA,ATM,NA,2.9,12,76%
NA,NA,Bank,NA,2.9,3,33%
NA,NA,ATM,NA,2.9,2,0%
NA,NA,Non-Bank Financial Service,NA,2.8,7,29%
Cookeville, United States,Alternative Financial Service,NA,2.7,23,35%
NA,NA,ATM,NA,2.7,4,50%
NA,NA,,NA,NA,0,50%
NA,NA,,NA,NA,0,
NA,NA,,NA,NA,0,
NA,NA,,NA,NA,0,
